det_part,timestamp,current
FPix_BpI_D3_ROG4_RNG1_HV,2024-05-13 01:00:00,1518.39751553
FPix_BpI_D3_ROG4_RNG1_HV,2024-05-20 22:30:41,1549.5
FPix_BpI_D3_ROG4_RNG1_HV,2024-07-02 01:33:05,1867.88607595
FPix_BpI_D3_ROG4_RNG1_HV,2024-07-16 07:05:31,1983.29508197
FPix_BpI_D3_ROG4_RNG1_HV,2024-07-31 00:10:27,2189.6473029
FPix_BpI_D3_ROG4_RNG1_HV,2024-08-12 22:59:01,2324.68498168
FPix_BpI_D3_ROG4_RNG1_HV,2024-08-24 18:31:46,2264.21402214
FPix_BpI_D3_ROG4_RNG1_HV,2024-09-15 02:28:20,2636.98427673
FPix_BpI_D3_ROG4_RNG1_HV,2024-10-04 17:21:45,2722.31506849
FPix_BpI_D3_ROG4_RNG1_HV,2025-05-29 09:17:06,2570.94984326
FPix_BpI_D3_ROG4_RNG1_HV,2025-06-08 03:52:30,2824.22680412
BPix_BpO_SEC6_LAY23_LAY3_HV,2024-05-13 00:30:56,2325.05439331
BPix_BpO_SEC6_LAY23_LAY3_HV,2024-05-20 22:29:28,2325.01724138
BPix_BpO_SEC6_LAY23_LAY3_HV,2024-07-02 01:29:50,2732.59562564
BPix_BpO_SEC6_LAY23_LAY3_HV,2024-07-16 07:00:01,2942.94780876
BPix_BpO_SEC6_LAY23_LAY3_HV,2024-07-31 00:16:42,3269.26737419
BPix_BpO_SEC6_LAY23_LAY3_HV,2024-08-12 22:59:13,3466.41410165
BPix_BpO_SEC6_LAY23_LAY3_HV,2024-08-24 19:24:45,3548.57247537
BPix_BpO_SEC6_LAY23_LAY3_HV,2024-09-15 02:29:08,3975.67082153
BPix_BpO_SEC6_LAY23_LAY3_HV,2024-10-04 17:30:00,4234.63611416
BPix_BpO_SEC6_LAY23_LAY3_HV,2025-05-29 09:28:53,4235.12848297
BPix_BpO_SEC6_LAY23_LAY3_HV,2025-06-08 04:01:11,4781.33883388
FPix_BpO_D2_ROG2_RNG1_HV,2024-05-13 01:10:32,839.403409091
FPix_BpO_D2_ROG2_RNG1_HV,2024-05-20 22:22:49,861.625
FPix_BpO_D2_ROG2_RNG1_HV,2024-07-02 01:36:49,1028.46956522
